date,open,high,low,close,Adj Close,volume,trade_count,vwap
2023-01-26 14:34:00+00:00,0.4066,0.4066,0.4066,0.4066,0.4066,501.0,4.0,0.406607
2023-01-26 14:35:00+00:00,0.4105,0.4105,0.4105,0.4105,0.4105,777.0,1.0,0.4105
2023-01-26 14:37:00+00:00,0.4078,0.4105,0.4078,0.4105,0.4105,712.0,2.0,0.408938
2023-01-26 14:38:00+00:00,0.4066,0.4066,0.402,0.402,0.402,2927.0,8.0,0.405826
2023-01-26 14:39:00+00:00,0.4065,0.4065,0.4065,0.4065,0.4065,301.0,2.0,0.406486
2023-01-26 14:40:00+00:00,0.406399,0.406399,0.406399,0.406399,0.406399,1027.0,2.0,0.406346
2023-01-26 14:42:00+00:00,0.405,0.406399,0.4044,0.406399,0.406399,700.0,4.0,0.404817
2023-01-26 14:43:00+00:00,0.405,0.4064,0.405,0.4064,0.4064,625.0,3.0,0.405732
2023-01-26 14:46:00+00:00,0.4035,0.4065,0.4035,0.4064,0.4064,1000.0,7.0,0.404993
2023-01-26 14:52:00+00:00,0.4036,0.4036,0.4036,0.4036,0.4036,100.0,1.0,0.4036
2023-01-26 14:53:00+00:00,0.4065,0.4065,0.4064,0.4065,0.4065,500.0,5.0,0.40646
2023-01-26 14:55:00+00:00,0.4065,0.4065,0.4065,0.4065,0.4065,184.0,1.0,0.4065
2023-01-26 14:56:00+00:00,0.4036,0.4036,0.4036,0.4036,0.4036,500.0,2.0,0.4036
2023-01-26 14:57:00+00:00,0.406499,0.406499,0.406499,0.406499,0.406499,200.0,1.0,0.406499
2023-01-26 15:02:00+00:00,0.4036,0.406399,0.4036,0.4036,0.4036,300.0,3.0,0.404533
2023-01-26 15:06:00+00:00,0.403,0.403,0.403,0.403,0.403,500.0,2.0,0.403026
2023-01-26 15:08:00+00:00,0.402,0.40425,0.402,0.40425,0.40425,927.0,5.0,0.402756
2023-01-26 15:09:00+00:00,0.4065,0.4065,0.4065,0.4065,0.4065,225.0,4.0,0.406491
2023-01-26 15:12:00+00:00,0.403,0.40475,0.403,0.403,0.403,900.0,4.0,0.403583
2023-01-26 15:13:00+00:00,0.40475,0.406399,0.40475,0.406399,0.406399,300.0,2.0,0.4053
2023-01-26 15:14:00+00:00,0.403,0.403,0.403,0.403,0.403,100.0,1.0,0.403
2023-01-26 15:16:00+00:00,0.40475,0.40475,0.40475,0.40475,0.40475,300.0,1.0,0.40475
2023-01-26 15:17:00+00:00,0.4065,0.4065,0.4065,0.4065,0.4065,110.0,1.0,0.4065
2023-01-26 15:19:00+00:00,0.4065,0.4066,0.4065,0.4066,0.4066,300.0,3.0,0.406567
2023-01-26 15:22:00+00:00,0.405,0.405,0.405,0.405,0.405,240.0,1.0,0.405
